all	0	313763	50390601	0.0062266
all	1	23630	50390601	0.0004689
all	2	17020	50390601	0.0003378
all	3	14700	50390601	0.0002917
all	4	15294	50390601	0.0003035
all	5	14022	50390601	0.0002783
all	6	14722	50390601	0.0002922
all	7	14887	50390601	0.0002954
all	8	15842	50390601	0.0003144
all	9	16440	50390601	0.0003263
all	10	17285	50390601	0.0003430
all	11	18681	50390601	0.0003707
all	12	18997	50390601	0.0003770
all	13	19891	50390601	0.0003947
all	14	21705	50390601	0.0004307
all	15	22180	50390601	0.0004402
all	16	23411	50390601	0.0004646
all	17	24694	50390601	0.0004901
all	18	26136	50390601	0.0005187
all	19	27221	50390601	0.0005402
all	20	28790	50390601	0.0005713
all	21	30249	50390601	0.0006003
all	22	31827	50390601	0.0006316
all	23	33216	50390601	0.0006592
all	24	34954	50390601	0.0006937
all	25	37326	50390601	0.0007407
all	26	39777	50390601	0.0007894
all	27	40566	50390601	0.0008050
all	28	43099	50390601	0.0008553
all	29	45525	50390601	0.0009034
all	30	47496	50390601	0.0009426
all	31	49351	50390601	0.0009794
all	32	51808	50390601	0.0010281
all	33	54541	50390601	0.0010824
all	34	57324	50390601	0.0011376
all	35	60213	50390601	0.0011949
all	36	63034	50390601	0.0012509
all	37	66480	50390601	0.0013193
all	38	69851	50390601	0.0013862
all	39	73063	50390601	0.0014499
all	40	76619	50390601	0.0015205
all	41	80214	50390601	0.0015918
all	42	83397	50390601	0.0016550
all	43	87129	50390601	0.0017291
all	44	91212	50390601	0.0018101
all	45	95180	50390601	0.0018888
all	46	99266	50390601	0.0019699
all	47	102719	50390601	0.0020385
all	48	107109	50390601	0.0021256
all	49	112352	50390601	0.0022296
all	50	116488	50390601	0.0023117
all	51	120863	50390601	0.0023985
all	52	125471	50390601	0.0024900
all	53	130704	50390601	0.0025938
all	54	135622	50390601	0.0026914
all	55	140812	50390601	0.0027944
all	56	145880	50390601	0.0028950
all	57	152089	50390601	0.0030182
all	58	156492	50390601	0.0031056
all	59	162182	50390601	0.0032185
all	60	166490	50390601	0.0033040
all	61	171496	50390601	0.0034033
all	62	176819	50390601	0.0035090
all	63	182000	50390601	0.0036118
all	64	187227	50390601	0.0037155
all	65	192575	50390601	0.0038216
all	66	198153	50390601	0.0039323
all	67	203104	50390601	0.0040306
all	68	208944	50390601	0.0041465
all	69	214465	50390601	0.0042561
all	70	220152	50390601	0.0043689
all	71	225482	50390601	0.0044747
all	72	231563	50390601	0.0045954
all	73	235654	50390601	0.0046765
all	74	243096	50390601	0.0048242
all	75	247062	50390601	0.0049029
all	76	253499	50390601	0.0050307
all	77	258762	50390601	0.0051351
all	78	263768	50390601	0.0052345
all	79	269940	50390601	0.0053570
